noise_rate,method,accuracy_mean,accuracy_std
0.0,Hinge,0.968421052631579,0.0140837363494647
0.0,LHS,0.9660818713450292,0.012678060461215682
0.05,Hinge,0.9590643274853801,0.01371466596439597
0.05,LHS,0.9602339181286549,0.0076247981347399435
0.1,Hinge,0.952046783625731,0.016227411608785526
0.1,LHS,0.9649122807017545,0.007162250709892316
